Model,Accuracy,Precision,Recall,F1,ROC-AUC,CV Mean,CV Std,Time
Gradient Boosting,0.8320455469703132,0.8553459119496856,0.855944055944056,0.8556448794127928,0.9119581099172936,0.8609580424909906,0.00903981720472025,19.394818544387817
Support Vector Machine,0.8308255388369256,0.8535564853556485,0.855944055944056,0.8547486033519553,0.90272924354557,0.8492871775507664,0.010618540291527844,262.5529294013977
Logistic Regression,0.8271655144367629,0.8411405295315683,0.8664335664335664,0.8535997244230107,0.8933209647495363,0.8486760433300274,0.008569828162092742,5.25890851020813
Random Forest,0.8287921919479463,0.8530440867739678,0.8524475524475524,0.8527457152850647,0.9058393986965416,0.858481815773574,0.008469730027436399,5.092126369476318
K-Nearest Neighbors,0.7315982106547377,0.7054429028815368,0.9244755244755245,0.8002421307506054,0.7893810271361291,0.7898944351713739,0.007876260475155711,0.05447053909301758
Decision Tree,0.7539650264335096,0.7982646420824295,0.772027972027972,0.7849271240668325,0.7504454728944524,0.7829416044249029,0.009326656159700984,2.753056764602661
