Model,Accuracy,Precision,Recall,F1,ROC-AUC,CV Mean,CV Std,Time
Random Forest,0.5957706384709232,0.5403225806451613,0.49906890130353815,0.5188770571151985,0.6385148807723077,0.5132476354040533,0.011248942375767707,0.1847696304321289
Gradient Boosting,0.5945506303375356,0.5417118093174431,0.4655493482309125,0.5007511266900351,0.6321501321017284,0.49151406390363206,0.007017079451055562,1.0549840927124023
Logistic Regression,0.5673037820252135,0.5047801147227533,0.49162011173184356,0.4981132075471698,0.6132468117432723,0.5130725961789411,0.012337515389415188,0.04815363883972168
